prob_class_0,prob_class_1,prob_class_2,prob_class_3,max_probability,predicted_class,predicted_class_name,forward
0.9999993,6.265006e-07,1.966751e-08,3.181065e-08,0.9999993,0,none,True
0.99999905,8.2945127e-07,4.525354e-08,3.678834e-08,0.99999905,0,none,True
0.99999964,2.3918392e-07,6.55926e-08,6.2849566e-08,0.99999964,0,none,True
0.9999994,4.6718228e-07,8.282891e-08,8.1626e-08,0.9999994,0,none,True
0.99999976,3.7916212e-08,1.1550571e-07,5.911834e-08,0.99999976,0,none,True
0.9999995,2.9115603e-07,1.0354218e-07,2.4979522e-08,0.9999995,0,none,True
0.999997,2.0697369e-06,8.802306e-07,2.6868964e-08,0.999997,0,none,True
0.9999994,4.5354676e-07,6.027765e-08,4.972653e-08,0.9999994,0,none,True
0.9999994,2.3704746e-07,4.047246e-07,7.788655e-09,0.9999994,0,none,True
0.99999964,9.6462614e-08,1.5426888e-07,1.2316949e-07,0.99999964,0,none,True
0.99999774,1.7857776e-07,2.0799723e-06,4.7624933e-08,0.99999774,0,none,True
0.99999964,2.6833542e-08,2.9900013e-07,3.4130967e-09,0.99999964,0,none,True
0.99999964,6.1391283e-09,1.0982971e-08,2.945381e-07,0.99999964,0,none,True
0.9999995,6.366675e-08,7.106712e-08,3.0511464e-07,0.9999995,0,none,True
0.99999964,2.548383e-07,3.6047233e-08,4.9100265e-08,0.99999964,0,none,True
0.99999964,6.364575e-08,1.13838645e-07,2.314819e-07,0.99999964,0,none,True
0.99999964,1.5340329e-07,2.987925e-08,1.6769205e-07,0.99999964,0,none,True
0.99999845,1.1162907e-06,1.5097788e-07,3.1083914e-07,0.99999845,0,none,True
0.9999975,1.104434e-06,1.1354279e-06,3.2236548e-07,0.9999975,0,none,True
0.99951303,0.00047618608,1.6233475e-06,9.2182545e-06,0.99951303,0,none,True
0.9999676,3.1066655e-05,6.051162e-07,7.434607e-07,0.9999676,0,none,True
0.9999715,2.278236e-06,2.1107253e-05,5.1033444e-06,0.9999715,0,none,True
0.99998474,1.1567987e-06,3.5826129e-06,1.0563045e-05,0.99998474,0,none,True
0.9972773,0.00013531084,0.00091269385,0.0016746378,0.9972773,0,none,True
0.9973333,0.0014126084,0.00024430366,0.001009861,0.9973333,0,none,True
0.9997702,3.1303596e-05,0.00017607225,2.2395923e-05,0.9997702,0,none,True
0.9996904,0.00030303237,5.059354e-06,1.4826533e-06,0.9996904,0,none,True
0.99979275,0.00020015419,6.1788733e-06,8.6963854e-07,0.99979275,0,none,True
0.99992466,4.224275e-05,3.0344625e-05,2.7045094e-06,0.99992466,0,none,True
0.9999496,3.864948e-05,9.1479075e-07,1.0891652e-05,0.9999496,0,none,True
0.9999527,3.7725706e-05,8.379817e-06,1.2263422e-06,0.9999527,0,none,True
0.9986792,0.0013036422,1.0360439e-05,6.7801584e-06,0.9986792,0,none,True
0.99997187,6.311276e-06,1.0504383e-05,1.134554e-05,0.99997187,0,none,True
0.93941957,0.05974048,0.0003822229,0.0004577112,0.93941957,0,none,True
0.70246947,0.29749224,2.3254071e-05,1.503426e-05,0.70246947,0,none,True
0.78322446,0.19501068,0.0008291379,0.020935694,0.78322446,0,none,True
0.91335243,0.08601872,3.320646e-05,0.0005955919,0.91335243,0,none,True
0.9985972,0.00035259128,7.869187e-06,0.0010423091,0.9985972,0,none,True
0.9889424,0.0010706807,2.9404253e-05,0.009957533,0.9889424,0,none,True
0.9487375,0.0006204542,0.00023548394,0.050406557,0.9487375,0,none,True
0.99832195,0.00050692057,0.0008142632,0.0003568632,0.99832195,0,none,True
0.9999583,2.701194e-05,2.4130024e-06,1.2301003e-05,0.9999583,0,none,True
0.9999093,7.349141e-05,2.9302346e-06,1.4287437e-05,0.9999093,0,none,True
0.9999645,2.4539231e-05,3.9567126e-06,7.069523e-06,0.9999645,0,none,True
0.9679614,0.031846784,0.00012452087,6.7343695e-05,0.9679614,0,none,True
0.9955188,0.003224083,0.0007114526,0.0005456535,0.9955188,0,none,True
0.9995161,9.236574e-05,0.0002603402,0.00013118921,0.9995161,0,none,True
0.9979982,0.0020010392,6.339482e-07,1.4851398e-07,0.9979982,0,none,True
0.99997747,2.373808e-06,1.904799e-05,1.0529069e-06,0.99997747,0,none,True
0.9993956,0.0005899204,1.3371699e-05,1.0773432e-06,0.9993956,0,none,True
0.9999429,3.179086e-05,2.4973335e-05,3.09642e-07,0.9999429,0,none,True
0.9999846,1.1844853e-06,7.2690877e-06,6.8916593e-06,0.9999846,0,none,True
0.99995196,3.8784896e-05,2.8895874e-06,6.3941607e-06,0.99995196,0,none,True
0.99976605,0.00021914189,2.1850622e-06,1.25686975e-05,0.99976605,0,none,True
0.94837433,0.05156802,4.9585284e-05,8.087739e-06,0.94837433,0,none,True
0.99994147,5.6628684e-05,1.2291408e-06,7.271398e-07,0.99994147,0,none,True
0.99998057,1.5711741e-05,6.1854206e-07,3.1344048e-06,0.99998057,0,none,True
0.9999589,2.9715335e-05,4.0580253e-06,7.308243e-06,0.9999589,0,none,True
0.99971086,4.2139795e-06,5.6422876e-05,0.00022845971,0.99971086,0,none,True
0.99997354,1.7427067e-07,1.7563398e-05,8.679509e-06,0.99997354,0,none,True
0.9999969,9.0871777e-07,2.2295777e-07,1.9364822e-06,0.9999969,0,none,True
0.9999932,5.253143e-06,9.962853e-07,5.8897615e-07,0.9999932,0,none,True
0.9994035,0.00012800399,0.000334744,0.00013375664,0.9994035,0,none,True
0.9992465,3.1087628e-05,0.0006536521,6.886089e-05,0.9992465,0,none,True
0.99999225,6.985525e-07,3.0053184e-06,4.065587e-06,0.99999225,0,none,True
0.9996147,6.0790473e-05,0.00032195443,2.5020615e-06,0.9996147,0,none,True
0.99989307,6.933448e-06,9.156835e-05,8.401257e-06,0.99989307,0,none,True
0.999949,4.501141e-06,4.443056e-05,2.0591617e-06,0.999949,0,none,True
0.99999845,4.620339e-08,9.98984e-07,4.615048e-07,0.99999845,0,none,True
0.9999926,9.544396e-09,2.1324995e-06,5.207842e-06,0.9999926,0,none,True
0.99989367,1.059177e-05,9.117533e-05,4.598953e-06,0.99989367,0,none,True
0.99988556,5.6533197e-05,5.76348e-05,2.4954164e-07,0.99988556,0,none,True
0.9996147,0.00015156838,0.00022822825,5.4809343e-06,0.9996147,0,none,True
0.99999,1.973239e-06,1.1582762e-06,6.912681e-06,0.99999,0,none,True
0.9999527,1.122074e-05,3.7034818e-07,3.5781635e-05,0.9999527,0,none,True
0.9999846,5.1214365e-06,4.9426376e-06,5.3121967e-06,0.9999846,0,none,True
0.9999701,1.4324789e-05,1.6776924e-06,1.3974898e-05,0.9999701,0,none,True
0.99999213,4.9352185e-08,7.4752654e-07,7.0267597e-06,0.99999213,0,none,True
0.999985,1.1302156e-07,4.4000676e-06,1.0562474e-05,0.999985,0,none,True
0.99998736,1.4951977e-06,9.138623e-06,1.960191e-06,0.99998736,0,none,True
0.9999981,2.3491258e-07,1.1031103e-06,5.339648e-07,0.9999981,0,none,True
0.9999018,1.7763157e-05,1.0244149e-05,7.0174836e-05,0.9999018,0,none,True
0.99997866,5.752871e-06,5.149945e-06,1.0419041e-05,0.99997866,0,none,True
0.99990666,3.3598421e-06,1.1256837e-05,7.870302e-05,0.99990666,0,none,True
0.99992466,5.004741e-06,2.4950003e-05,4.5427776e-05,0.99992466,0,none,True
0.99997115,8.042057e-06,1.7309309e-05,3.5183239e-06,0.99997115,0,none,True
0.99999094,5.901378e-06,1.009137e-06,2.1923424e-06,0.99999094,0,none,True
0.9999819,7.317945e-06,9.085919e-06,1.674496e-06,0.9999819,0,none,True
0.9982377,0.0017370923,2.4777677e-05,4.280435e-07,0.9982377,0,none,True
0.99998355,7.269444e-07,1.4746042e-05,9.3659395e-07,0.99998355,0,none,True
0.9999484,8.5579626e-07,4.7535992e-05,3.2612684e-06,0.9999484,0,none,True
0.9999951,4.752735e-06,1.1728921e-07,7.3796514e-08,0.9999951,0,none,True
0.99999034,9.2864404e-08,7.738147e-06,1.8239949e-06,0.99999034,0,none,True
0.9999974,3.0839192e-07,2.1330484e-06,1.9330537e-07,0.9999974,0,none,True
0.99999905,5.679273e-07,2.0480257e-07,1.2598163e-07,0.99999905,0,none,True
0.9999982,3.3232425e-08,4.673279e-07,1.2323575e-06,0.9999982,0,none,True
0.999995,6.817503e-08,4.2325264e-06,7.3381085e-07,0.999995,0,none,True
0.99999607,1.9929898e-08,1.6794297e-06,2.1853439e-06,0.99999607,0,none,True
0.99999833,7.719557e-07,5.755538e-07,2.9727136e-07,0.99999833,0,none,True
0.99999774,1.4400458e-06,3.8038863e-07,4.985905e-07,0.99999774,0,none,True
0.9999963,1.4460068e-06,8.2162416e-07,1.3846376e-06,0.9999963,0,none,True
0.99998736,1.1357678e-05,1.1593817e-06,1.1910988e-07,0.99998736,0,none,True
0.9999924,2.0815456e-07,3.9107317e-06,3.562093e-06,0.9999924,0,none,True
0.9999957,2.7216938e-06,4.0958992e-07,1.2034202e-06,0.9999957,0,none,True
0.9999801,1.6133317e-05,2.4842602e-06,1.2367619e-06,0.9999801,0,none,True
0.9999008,7.155085e-07,1.0861187e-05,8.763643e-05,0.9999008,0,none,True
0.9997844,6.3450956e-05,4.017411e-05,0.000112036,0.9997844,0,none,True
0.99982774,0.00016436038,3.209469e-06,4.710605e-06,0.99982774,0,none,True
0.98154175,0.018341627,8.081113e-05,3.5786063e-05,0.98154175,0,none,True
0.9995357,0.00044092367,2.296911e-05,4.3158607e-07,0.9995357,0,none,True
